,date,variable,value
907,12/9/20,India,31521
908,12/10/20,India,29373
909,12/11/20,India,30031
910,12/12/20,India,30254
911,12/13/20,India,27071
912,12/14/20,India,22065
913,12/15/20,India,26382
914,12/16/20,India,24010
915,12/17/20,India,22890
916,12/18/20,India,25152
917,12/19/20,India,26624
918,12/20/20,India,24337
919,12/21/20,India,19556
920,12/22/20,India,23950
921,12/23/20,India,24712
922,12/24/20,India,23067
923,12/25/20,India,22273
924,12/26/20,India,18732
925,12/27/20,India,20021
926,12/28/20,India,16432
927,12/29/20,India,20549
928,12/30/20,India,21822
929,12/31/20,India,20035
930,1/1/21,India,39114
931,1/2/21,India,-1858
932,1/3/21,India,16504
933,1/4/21,India,16375
934,1/5/21,India,18088
935,1/6/21,India,20346
936,1/7/21,India,18139
937,1/8/21,India,0
938,1/9/21,India,36867
939,1/10/21,India,16311
940,1/11/21,India,12584
941,1/12/21,India,15968
942,1/13/21,India,16946
943,1/14/21,India,15590
944,1/15/21,India,15158
945,1/16/21,India,15144
946,1/17/21,India,13788
947,1/18/21,India,10050
948,1/19/21,India,13816
949,1/20/21,India,15244
